File name,20200601S181BL.kcd
Result analysis file name,20200601S181BL-1.raf
Subject,20200602BSL1S179S180
Gender,Male
Age
Memo,20200602BSL1S179S180S181
Free comment 1,Recordings,20200601BSL1S179S180S181
Free comment 2,ch1 ,S179
Free comment 3,ch2,S180
Free comment 4,ch3,S181
Free comment 5,ch4 ,
Free comment 6,ch5,
Free comment 7,ch6 ,
Free comment 8,ch7,
Free comment 9,ch8,
Free comment 10,operator,sakthi

Start time,2020/06/01 10:59:38
End time,2020/06/01 17:01:34
Time division(hr),6

2020/06/01 10:59:38,,,,,,,2020/06/01 16:59:38,,,,,,,
Stage,Count,Mean duration(sec.),SD(+-),,,,Stage,Count,Mean duration(sec.),SD(+-),,,,
l,197,35,70,,,,l,0,None,None,,,,
R,31,45,45,,,,R,0,None,None,,,,
S,147,84,79,,,,S,0,None,None,,,,
2,0,None,None,,,,2,0,None,None,,,,
3,0,None,None,,,,3,0,None,None,,,,
4,0,None,None,,,,4,0,None,None,,,,
M,0,None,None,,,,M,0,None,None,,,,
F1,0,None,None,,,,F1,0,None,None,,,,
F2,0,None,None,,,,F2,0,None,None,,,,
h,68,7,6,,,,h,0,None,None,,,,
NonREMSleep,147,84,79,,,,NonREMSleep,0,None,None,,,,
TotalSleep,130,106,91,,,,TotalSleep,0,None,None,,,,
284,3248,2020/06/01 14:36:10,S,78,312,,,,,,,,,
285,3326,2020/06/01 14:41:22,l,1,4,,,,,,,,,
286,3327,2020/06/01 14:41:26,S,20,80,,,,,,,,,
287,3347,2020/06/01 14:42:46,l,2,8,,,,,,,,,
288,3349,2020/06/01 14:42:54,S,7,28,,,,,,,,,
289,3356,2020/06/01 14:43:22,l,2,8,,,,,,,,,
290,3358,2020/06/01 14:43:30,S,28,112,,,,,,,,,
291,3386,2020/06/01 14:45:22,l,3,12,,,,,,,,,
292,3389,2020/06/01 14:45:34,S,11,44,,,,,,,,,
293,3400,2020/06/01 14:46:18,R,13,52,,,,,,,,,
294,3413,2020/06/01 14:47:10,l,42,168,,,,,,,,,
295,3455,2020/06/01 14:49:58,h,2,8,,,,,,,,,
296,3457,2020/06/01 14:50:06,l,17,68,,,,,,,,,
297,3474,2020/06/01 14:51:14,h,1,4,,,,,,,,,
298,3475,2020/06/01 14:51:18,l,51,204,,,,,,,,,
299,3526,2020/06/01 14:54:42,h,1,4,,,,,,,,,
300,3527,2020/06/01 14:54:46,l,14,56,,,,,,,,,
301,3541,2020/06/01 14:55:42,h,1,4,,,,,,,,,
302,3542,2020/06/01 14:55:46,l,6,24,,,,,,,,,
303,3548,2020/06/01 14:56:10,h,4,16,,,,,,,,,
304,3552,2020/06/01 14:56:26,l,15,60,,,,,,,,,
305,3567,2020/06/01 14:57:26,h,1,4,,,,,,,,,
306,3568,2020/06/01 14:57:30,l,3,12,,,,,,,,,
307,3571,2020/06/01 14:57:42,h,3,12,,,,,,,,,
308,3574,2020/06/01 14:57:54,l,1,4,,,,,,,,,
309,3575,2020/06/01 14:57:58,h,5,20,,,,,,,,,
310,3580,2020/06/01 14:58:18,l,16,64,,,,,,,,,
311,3596,2020/06/01 14:59:22,S,7,28,,,,,,,,,
312,3603,2020/06/01 14:59:50,l,39,156,,,,,,,,,
313,3642,2020/06/01 15:02:26,h,1,4,,,,,,,,,
314,3643,2020/06/01 15:02:30,l,54,216,,,,,,,,,
315,3697,2020/06/01 15:06:06,S,2,8,,,,,,,,,
316,3699,2020/06/01 15:06:14,l,1,4,,,,,,,,,
317,3700,2020/06/01 15:06:18,S,27,108,,,,,,,,,
318,3727,2020/06/01 15:08:06,l,23,92,,,,,,,,,
319,3750,2020/06/01 15:09:38,S,8,32,,,,,,,,,
320,3758,2020/06/01 15:10:10,l,4,16,,,,,,,,,
321,3762,2020/06/01 15:10:26,S,31,124,,,,,,,,,
322,3793,2020/06/01 15:12:30,l,1,4,,,,,,,,,
323,3794,2020/06/01 15:12:34,S,4,16,,,,,,,,,
324,3798,2020/06/01 15:12:50,l,1,4,,,,,,,,,
325,3799,2020/06/01 15:12:54,S,21,84,,,,,,,,,
326,3820,2020/06/01 15:14:18,l,1,4,,,,,,,,,
327,3821,2020/06/01 15:14:22,S,33,132,,,,,,,,,
328,3854,2020/06/01 15:16:34,l,2,8,,,,,,,,,
329,3856,2020/06/01 15:16:42,S,46,184,,,,,,,,,
330,3902,2020/06/01 15:19:46,l,1,4,,,,,,,,,
331,3903,2020/06/01 15:19:50,S,29,116,,,,,,,,,
332,3932,2020/06/01 15:21:46,l,3,12,,,,,,,,,
333,3935,2020/06/01 15:21:58,S,18,72,,,,,,,,,
334,3953,2020/06/01 15:23:10,R,7,28,,,,,,,,,
335,3960,2020/06/01 15:23:38,l,3,12,,,,,,,,,
336,3963,2020/06/01 15:23:50,S,11,44,,,,,,,,,
337,3974,2020/06/01 15:24:34,R,5,20,,,,,,,,,
338,3979,2020/06/01 15:24:54,S,2,8,,,,,,,,,
339,3981,2020/06/01 15:25:02,R,28,112,,,,,,,,,
340,4009,2020/06/01 15:26:54,S,1,4,,,,,,,,,
341,4010,2020/06/01 15:26:58,R,5,20,,,,,,,,,
342,4015,2020/06/01 15:27:18,S,2,8,,,,,,,,,
343,4017,2020/06/01 15:27:26,l,2,8,,,,,,,,,
344,4019,2020/06/01 15:27:34,S,7,28,,,,,,,,,
345,4026,2020/06/01 15:28:02,l,1,4,,,,,,,,,
346,4027,2020/06/01 15:28:06,S,15,60,,,,,,,,,
347,4042,2020/06/01 15:29:06,l,1,4,,,,,,,,,
348,4043,2020/06/01 15:29:10,S,58,232,,,,,,,,,
349,4101,2020/06/01 15:33:02,l,2,8,,,,,,,,,
350,4103,2020/06/01 15:33:10,S,42,168,,,,,,,,,
