File name,20200601S181BL.kcd
Result analysis file name,20200601S181BL-1.raf
Subject,20200602BSL1S179S180
Gender,Male
Age
Memo,20200602BSL1S179S180S181
Free comment 1,Recordings,20200601BSL1S179S180S181
Free comment 2,ch1 ,S179
Free comment 3,ch2,S180
Free comment 4,ch3,S181
Free comment 5,ch4 ,
Free comment 6,ch5,
Free comment 7,ch6 ,
Free comment 8,ch7,
Free comment 9,ch8,
Free comment 10,operator,sakthi

Time,Epoch No.,Stage,,
2020/06/01 11:26:50,408,S,0,
2020/06/01 11:26:54,409,S,0,
2020/06/01 11:26:58,410,S,0,
2020/06/01 11:27:02,411,S,0,
2020/06/01 11:27:06,412,S,0,
2020/06/01 11:27:10,413,S,0,
2020/06/01 11:27:14,414,S,0,
2020/06/01 11:27:18,415,S,0,
2020/06/01 11:27:22,416,S,0,
2020/06/01 11:27:26,417,S,0,
2020/06/01 11:27:30,418,S,0,
2020/06/01 11:27:34,419,S,0,
2020/06/01 11:27:38,420,S,0,
2020/06/01 11:27:42,421,S,0,
2020/06/01 11:27:46,422,S,0,
2020/06/01 11:27:50,423,S,0,
2020/06/01 11:27:54,424,S,0,
2020/06/01 11:27:58,425,S,0,
2020/06/01 11:28:02,426,S,0,
2020/06/01 11:28:06,427,S,0,
2020/06/01 11:28:10,428,S,0,
2020/06/01 11:28:14,429,S,0,
2020/06/01 11:28:18,430,S,0,
2020/06/01 11:28:22,431,S,0,
2020/06/01 11:28:26,432,S,0,
2020/06/01 11:28:30,433,S,0,
2020/06/01 11:28:34,434,S,0,
2020/06/01 11:28:38,435,l,0,
2020/06/01 11:28:42,436,l,0,
2020/06/01 11:28:46,437,l,0,
2020/06/01 11:28:50,438,S,0,
2020/06/01 11:28:54,439,S,0,
2020/06/01 11:28:58,440,S,0,
2020/06/01 11:29:02,441,S,0,
2020/06/01 11:29:06,442,S,0,
2020/06/01 11:29:10,443,S,0,
2020/06/01 11:29:14,444,S,0,
2020/06/01 11:29:18,445,S,0,
2020/06/01 11:29:22,446,S,0,
2020/06/01 11:29:26,447,S,0,
2020/06/01 11:29:30,448,S,0,
2020/06/01 11:29:34,449,S,0,
2020/06/01 11:29:38,450,S,0,
2020/06/01 11:29:42,451,S,0,
2020/06/01 11:29:46,452,S,0,
2020/06/01 11:29:50,453,S,0,
2020/06/01 11:29:54,454,S,0,
2020/06/01 11:29:58,455,S,0,
2020/06/01 11:30:02,456,S,0,
2020/06/01 11:30:06,457,S,0,
2020/06/01 11:30:10,458,S,0,
2020/06/01 11:30:14,459,S,0,
2020/06/01 11:30:18,460,S,0,
2020/06/01 11:30:22,461,S,0,
2020/06/01 11:30:26,462,S,0,
2020/06/01 11:30:30,463,S,0,
2020/06/01 11:30:34,464,S,0,
2020/06/01 11:30:38,465,l,0,
2020/06/01 11:30:42,466,S,0,
2020/06/01 11:30:46,467,S,0,
2020/06/01 11:30:50,468,S,0,
2020/06/01 11:30:54,469,S,0,
2020/06/01 11:30:58,470,S,0,
2020/06/01 11:31:02,471,S,0,
2020/06/01 11:31:06,472,S,0,
2020/06/01 11:31:10,473,S,0,
2020/06/01 11:31:14,474,S,0,
2020/06/01 11:31:18,475,S,0,
2020/06/01 11:31:22,476,S,0,
2020/06/01 11:31:26,477,S,0,
2020/06/01 11:31:30,478,S,0,
2020/06/01 11:31:34,479,S,0,
2020/06/01 11:31:38,480,S,0,
2020/06/01 11:31:42,481,S,0,
2020/06/01 11:31:46,482,S,0,
2020/06/01 11:31:50,483,S,0,
2020/06/01 11:31:54,484,S,0,
2020/06/01 11:31:58,485,S,0,
2020/06/01 11:32:02,486,S,0,
2020/06/01 11:32:06,487,S,0,
2020/06/01 11:32:10,488,S,0,
2020/06/01 11:32:14,489,S,0,
2020/06/01 11:32:18,490,S,0,
2020/06/01 11:32:22,491,S,0,
2020/06/01 11:32:26,492,S,0,
2020/06/01 11:32:30,493,S,0,
2020/06/01 11:32:34,494,S,0,
2020/06/01 11:32:38,495,S,0,
2020/06/01 11:32:42,496,S,0,
2020/06/01 11:32:46,497,S,0,
2020/06/01 11:32:50,498,S,0,
2020/06/01 11:32:54,499,l,0,
2020/06/01 11:32:58,500,S,0,
2020/06/01 11:33:02,501,S,0,
2020/06/01 11:33:06,502,S,0,
2020/06/01 11:33:10,503,S,0,
2020/06/01 11:33:14,504,S,0,
2020/06/01 11:33:18,505,S,0,
2020/06/01 11:33:22,506,S,0,
2020/06/01 11:33:26,507,S,0,
2020/06/01 11:33:30,508,S,0,
2020/06/01 11:33:34,509,S,0,
2020/06/01 11:33:38,510,S,0,
2020/06/01 11:33:42,511,S,0,
2020/06/01 11:33:46,512,S,0,
2020/06/01 11:33:50,513,S,0,
2020/06/01 11:33:54,514,S,0,
2020/06/01 11:33:58,515,S,0,
2020/06/01 11:34:02,516,S,0,
2020/06/01 11:34:06,517,S,0,
2020/06/01 11:34:10,518,S,0,
2020/06/01 11:34:14,519,S,0,
2020/06/01 11:34:18,520,S,0,
2020/06/01 11:34:22,521,S,0,
2020/06/01 11:34:26,522,S,0,
2020/06/01 11:34:30,523,S,0,
2020/06/01 11:34:34,524,S,0,
2020/06/01 11:34:38,525,S,0,
2020/06/01 11:34:42,526,S,0,
2020/06/01 11:34:46,527,S,0,
2020/06/01 11:34:50,528,S,0,
2020/06/01 11:34:54,529,S,0,
2020/06/01 11:34:58,530,S,0,
2020/06/01 11:35:02,531,S,0,
2020/06/01 11:35:06,532,S,0,
2020/06/01 11:35:10,533,S,0,
2020/06/01 11:35:14,534,S,0,
2020/06/01 11:35:18,535,S,0,
2020/06/01 11:35:22,536,S,0,
2020/06/01 11:35:26,537,S,0,
2020/06/01 11:35:30,538,S,0,
2020/06/01 11:35:34,539,S,0,
2020/06/01 11:35:38,540,S,0,
2020/06/01 11:35:42,541,S,0,
2020/06/01 11:35:46,542,S,0,
2020/06/01 11:35:50,543,l,0,
2020/06/01 11:35:54,544,l,0,
2020/06/01 11:35:58,545,l,0,
2020/06/01 11:36:02,546,l,0,
2020/06/01 11:36:06,547,l,0,
2020/06/01 11:36:10,548,l,0,
2020/06/01 11:36:14,549,S,0,
2020/06/01 11:36:18,550,S,0,
2020/06/01 11:36:22,551,S,0,
2020/06/01 11:36:26,552,S,0,
2020/06/01 11:36:30,553,S,0,
2020/06/01 11:36:34,554,S,0,
2020/06/01 11:36:38,555,S,0,
2020/06/01 11:36:42,556,S,0,
2020/06/01 11:36:46,557,S,0,
2020/06/01 11:36:50,558,S,0,
2020/06/01 11:36:54,559,S,0,
2020/06/01 11:36:58,560,S,0,
2020/06/01 11:37:02,561,S,0,
2020/06/01 11:37:06,562,S,0,
2020/06/01 11:37:10,563,S,0,
2020/06/01 11:37:14,564,S,0,
2020/06/01 11:37:18,565,S,0,
2020/06/01 11:37:22,566,S,0,
2020/06/01 11:37:26,567,S,0,
2020/06/01 11:37:30,568,S,0,
2020/06/01 11:37:34,569,S,0,
2020/06/01 11:37:38,570,S,0,
2020/06/01 11:37:42,571,S,0,
2020/06/01 11:37:46,572,S,0,
2020/06/01 11:37:50,573,S,0,
2020/06/01 11:37:54,574,S,0,
2020/06/01 11:37:58,575,S,0,
2020/06/01 11:38:02,576,S,0,
2020/06/01 11:38:06,577,S,0,
2020/06/01 11:38:10,578,S,0,
2020/06/01 11:38:14,579,S,0,
2020/06/01 11:38:18,580,S,0,
2020/06/01 11:38:22,581,S,0,
2020/06/01 11:38:26,582,S,0,
2020/06/01 11:38:30,583,R,0,
2020/06/01 11:38:34,584,R,0,
2020/06/01 11:38:38,585,R,0,
2020/06/01 11:38:42,586,R,0,
2020/06/01 11:38:46,587,R,0,
2020/06/01 11:38:50,588,R,0,
2020/06/01 11:38:54,589,R,0,
2020/06/01 11:38:58,590,R,0,
2020/06/01 11:39:02,591,R,0,
2020/06/01 11:39:06,592,S,0,
2020/06/01 11:39:10,593,R,0,
2020/06/01 11:39:14,594,R,0,
2020/06/01 11:39:18,595,R,0,
2020/06/01 11:39:22,596,R,0,
2020/06/01 11:39:26,597,R,0,
2020/06/01 11:39:30,598,l,0,
2020/06/01 11:39:34,599,l,0,
2020/06/01 11:39:38,600,l,0,
2020/06/01 11:39:42,601,l,0,
2020/06/01 11:39:46,602,l,0,
2020/06/01 11:39:50,603,S,0,
2020/06/01 11:39:54,604,S,0,
2020/06/01 11:39:58,605,S,0,
2020/06/01 11:40:02,606,S,0,
2020/06/01 11:40:06,607,S,0,
2020/06/01 11:40:10,608,S,0,
2020/06/01 11:40:14,609,S,0,
2020/06/01 11:40:18,610,S,0,
2020/06/01 11:40:22,611,S,0,
2020/06/01 11:40:26,612,S,0,
2020/06/01 11:40:30,613,S,0,
2020/06/01 11:40:34,614,S,0,
2020/06/01 11:40:38,615,S,0,
2020/06/01 11:40:42,616,S,0,
2020/06/01 11:40:46,617,S,0,
2020/06/01 11:40:50,618,S,0,
2020/06/01 11:40:54,619,S,0,
2020/06/01 11:40:58,620,S,0,
2020/06/01 11:41:02,621,S,0,
2020/06/01 11:41:06,622,S,0,
2020/06/01 11:41:10,623,S,0,
2020/06/01 11:41:14,624,S,0,
2020/06/01 11:41:18,625,S,0,
2020/06/01 11:41:22,626,S,0,
2020/06/01 11:41:26,627,l,0,
2020/06/01 11:41:30,628,l,0,
2020/06/01 11:41:34,629,l,0,
2020/06/01 11:41:38,630,S,0,
2020/06/01 11:41:42,631,S,0,
2020/06/01 11:41:46,632,S,0,
2020/06/01 11:41:50,633,S,0,
2020/06/01 11:41:54,634,S,0,
2020/06/01 11:41:58,635,S,0,
2020/06/01 11:42:02,636,S,0,
2020/06/01 11:42:06,637,S,0,
2020/06/01 11:42:10,638,S,0,
2020/06/01 11:42:14,639,S,0,
2020/06/01 11:42:18,640,S,0,
2020/06/01 11:42:22,641,S,0,
2020/06/01 11:42:26,642,S,0,
